comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,delta_tail_electrons_gt_15_bohr,3,0.04185887758236009,0.0582015609335312,0.06376137623100049,0.06445635314318415,0.06501233467293108,0.06515133005536781
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;bound_provisional,delta_tail_electrons_gt_20_bohr,3,0.0012579138386052437,0.0016723738986329864,0.001749263486076855,0.0017588746845073383,0.0017665636432517252,0.001768485882937822
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,relative_l1_delta,14,0.0005207064717172266,0.011432805983273255,0.0357252206906524,0.06678618788755095,0.10652223274937284,0.11645624396482837
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,l1_delta_electrons_trapz,14,0.04426169602560905,0.5373381836419894,0.8185203665545733,0.8950747753756163,0.9924956051399514,1.0168508125810354
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,max_abs_cumulative_delta_electrons,14,0.004341777429289095,0.2524107154653503,0.3681782726140575,0.4036791455464609,0.45517102588882175,0.46804399597441204
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,mean_abs_radial_shift_angstrom,14,0.00010292884196993118,0.017119032313255386,0.04416775704304697,0.08802954589193969,0.13846837171645734,0.15107807817258687
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,delta_mean_r_angstrom,14,9.114733920120892e-07,0.016846624001649775,0.04352221395670266,0.0874536391269198,0.13821756974853122,0.15090855240393417
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,delta_rms_r_angstrom,14,5.18209516534861e-05,0.10390606629747279,0.1611316587828562,0.227251772046563,0.30245601090441443,0.3212570706188774
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,max_abs_quantile_radius_delta_angstrom,14,0.03574977697526871,1.8620514619644417,2.647593658084842,2.7492677789764595,2.8883776733072333,2.9231551468899273
x2c-QZVPall__dyall-v4z,primary_basis_family_comparison,charge_state_role,-1;formal_monoanion,max_abs_cutoff_radius_delta_angstrom,14,0.021145236924222523,0.22832889428386882,0.7561263713555885,0.8738794586840044,1.0068794340151348,1.0401294278479176
