state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
S_qm1_mult2_ning2022,S,16,-1,17,2,ning2022_monoanion_reference,bound_experimental,True,True,4.902744876744691e-13,3.3999999999999996e-06,True,1.5430843083602901e-15,1e-08,True,True,True,0,0
Cl_qm1_mult1_ning2022,Cl,17,-1,18,1,ning2022_monoanion_reference,bound_experimental,True,True,5.151434834260726e-13,3.6e-06,True,1.8511079963450546e-15,1e-08,True,True,True,0,0
K_qm1_mult1_ning2022,K,19,-1,20,1,ning2022_monoanion_reference,bound_experimental,True,True,5.684341886080801e-13,4e-06,True,1.0898454996294071e-15,1e-08,True,True,True,0,0
Ca_qm1_mult2_ning2022,Ca,20,-1,21,2,ning2022_monoanion_reference,bound_experimental,True,True,5.826450433232822e-13,4.2e-06,True,1.5065915004726896e-15,1e-08,True,True,True,0,0
Sc_qm1_mult1_ning2022,Sc,21,-1,22,1,ning2022_monoanion_reference,bound_experimental,True,True,6.110667527536862e-13,4.4e-06,True,1.9423310276153464e-15,1e-08,True,True,True,0,0
Ti_qm1_mult4_ning2022,Ti,22,-1,23,4,ning2022_monoanion_reference,bound_experimental,True,True,6.323830348264892e-13,4.6e-06,True,1.787463155307632e-15,1e-08,True,True,True,0,0
V_qm1_mult5_ning2022,V,23,-1,24,5,ning2022_monoanion_reference,bound_experimental,True,True,6.608047442568932e-13,4.8e-06,True,1.5098008128869803e-15,1e-08,True,True,True,0,0
Cr_qm1_mult6_ning2022,Cr,24,-1,25,6,ning2022_monoanion_reference,bound_experimental,True,True,6.856737400084967e-13,4.9999999999999996e-06,True,1.7103532279562977e-15,1e-08,True,True,True,0,0
Mn_qm1_mult5_formal,Mn,25,-1,26,5,formal_anion_reference,formal_monoanion,True,True,7.105427357601002e-13,5.199999999999999e-06,True,1.687688577190189e-15,1e-08,True,True,True,0,0
Fe_qm1_mult4_ning2022,Fe,26,-1,27,4,ning2022_monoanion_reference,bound_experimental,True,True,7.496225862269057e-13,5.4e-06,True,1.5056812519616166e-15,1e-08,True,True,True,0,0
Co_qm1_mult3_ning2022,Co,27,-1,28,3,ning2022_monoanion_reference,bound_experimental,True,True,7.638334409421077e-13,5.6e-06,True,1.3478746668630618e-15,1e-08,True,True,True,0,0
Ni_qm1_mult2_ning2022,Ni,28,-1,29,2,ning2022_monoanion_reference,bound_experimental,True,True,7.887024366937112e-13,5.7999999999999995e-06,True,1.31541951734148e-15,1e-08,True,True,True,0,0
Cu_qm1_mult1_ning2022,Cu,29,-1,30,1,ning2022_monoanion_reference,bound_experimental,True,True,8.100187187665142e-13,6e-06,True,1.3954517491520985e-15,1e-08,True,True,True,0,0
Zn_qm1_mult2_formal,Zn,30,-1,31,2,formal_anion_reference,formal_monoanion,True,True,8.490985692333197e-13,6.2e-06,True,2.2129131588547145e-15,1e-08,True,True,True,0,0
Ga_qm2_mult4_formal,Ga,31,-2,33,4,formal_anion_reference,formal_multianion,True,True,8.952838470577262e-13,6.5999999999999995e-06,True,2.4656994527479085e-15,1e-08,True,True,True,0,0
Ga_qm1_mult3_ning2022,Ga,31,-1,32,3,ning2022_monoanion_reference,bound_experimental,True,True,8.739675649849232e-13,6.4e-06,True,2.217617199688782e-15,1e-08,True,True,True,0,0
Ge_qm2_mult3_formal,Ge,32,-2,34,3,formal_anion_reference,formal_multianion,True,True,9.308109838457312e-13,6.799999999999999e-06,True,2.6859409053502363e-15,1e-08,True,True,True,0,0
Ge_qm1_mult4_ning2022,Ge,32,-1,33,4,ning2022_monoanion_reference,bound_experimental,True,True,8.952838470577262e-13,6.5999999999999995e-06,True,1.4456179336242958e-15,1e-08,True,True,True,0,0
As_qm3_mult1_formal,As,33,-3,36,1,formal_anion_reference,formal_multianion,True,True,9.734435479913373e-13,7.2e-06,True,2.3692924552423817e-15,1e-08,True,True,True,0,0
As_qm2_mult2_formal,As,33,-2,35,2,formal_anion_reference,formal_multianion,True,True,9.521272659185342e-13,7e-06,True,2.1250334069654082e-15,1e-08,True,True,True,0,0
As_qm1_mult3_ning2022,As,33,-1,34,3,ning2022_monoanion_reference,bound_experimental,True,True,9.379164112033322e-13,6.799999999999999e-06,True,2.0821940169658154e-15,1e-08,True,True,True,0,0
Se_qm2_mult1_formal,Se,34,-2,36,1,formal_anion_reference,formal_multianion,True,True,9.805489753489383e-13,7.2e-06,True,1.8757838603276352e-15,1e-08,True,True,True,0,0
Se_qm1_mult2_ning2022,Se,34,-1,35,2,ning2022_monoanion_reference,bound_experimental,True,True,9.663381206337363e-13,7e-06,True,1.503181184018408e-15,1e-08,True,True,True,0,0
Br_qm1_mult1_ning2022,Br,35,-1,36,1,ning2022_monoanion_reference,bound_experimental,True,True,9.947598300641403e-13,7.2e-06,True,1.5125589152821435e-15,1e-08,True,True,True,0,0
Rb_qm1_mult1_ning2022,Rb,37,-1,38,1,ning2022_monoanion_reference,bound_experimental,True,True,1.0444978215673473e-12,7.6e-06,True,1.7929540445874365e-15,1e-08,True,True,True,0,0
Sr_qm1_mult2_ning2022,Sr,38,-1,39,2,ning2022_monoanion_reference,bound_experimental,True,True,1.0658141036401503e-12,7.8e-06,True,1.4235381666235414e-15,1e-08,True,True,True,0,0
Y_qm1_mult1_ning2022,Y,39,-1,40,1,ning2022_monoanion_reference,bound_experimental,True,True,1.1013412404281553e-12,8e-06,True,1.7448002128457779e-15,1e-08,True,True,True,0,0
Zr_qm1_mult4_ning2022,Zr,40,-1,41,4,ning2022_monoanion_reference,bound_experimental,True,True,1.1226575225009583e-12,8.2e-06,True,1.618082005188471e-15,1e-08,True,True,True,0,0
Nb_qm1_mult5_ning2022,Nb,41,-1,42,5,ning2022_monoanion_reference,bound_experimental,True,True,1.1439738045737613e-12,8.4e-06,True,1.6958960219043711e-15,1e-08,True,True,True,0,0
Mo_qm1_mult6_ning2022,Mo,42,-1,43,6,ning2022_monoanion_reference,bound_experimental,True,True,1.1937117960769683e-12,8.599999999999999e-06,True,1.5067924051719476e-15,1e-08,True,True,True,0,0
Tc_qm1_mult5_formal,Tc,43,-1,44,5,formal_anion_reference,formal_monoanion,True,True,1.2292389328649733e-12,8.8e-06,True,1.6595934969304994e-15,1e-08,True,True,True,0,0
Ru_qm1_mult4_ning2022,Ru,44,-1,45,4,ning2022_monoanion_reference,bound_experimental,True,True,1.2292389328649733e-12,9e-06,True,1.4238823384486586e-15,1e-08,True,True,True,1,1
Rh_qm1_mult3_ning2022,Rh,45,-1,46,3,ning2022_monoanion_reference,bound_experimental,True,True,1.2647660696529783e-12,9.2e-06,True,1.6084051706732113e-15,1e-08,True,True,True,1,1
Pd_qm1_mult2_ning2022,Pd,46,-1,47,2,ning2022_monoanion_reference,bound_experimental,True,True,1.2931877790833823e-12,9.4e-06,True,1.6596059478157835e-15,1e-08,True,True,True,1,1
Ag_qm1_mult1_ning2022,Ag,47,-1,48,1,ning2022_monoanion_reference,bound_experimental,True,True,1.3145040611561853e-12,9.6e-06,True,1.6851478446811268e-15,1e-08,True,True,True,1,1
Cd_qm1_mult2_formal,Cd,48,-1,49,2,formal_anion_reference,formal_monoanion,True,True,1.3500311979441904e-12,9.8e-06,True,2.0350617126959594e-15,1e-08,True,True,True,1,1
In_qm2_mult4_formal,In,49,-2,51,4,formal_anion_reference,formal_multianion,True,True,1.3926637620897964e-12,1.0199999999999999e-05,True,2.263343269762906e-15,1e-08,True,True,True,1,1
In_qm1_mult3_ning2022,In,49,-1,50,3,ning2022_monoanion_reference,bound_experimental,True,True,1.3642420526593924e-12,9.999999999999999e-06,True,2.173903757355296e-15,1e-08,True,True,True,1,1
Sn_qm2_mult3_formal,Sn,50,-2,52,3,formal_anion_reference,formal_multianion,True,True,1.4139800441625994e-12,1.0399999999999999e-05,True,2.1359925375093852e-15,1e-08,True,True,True,1,1
Sn_qm1_mult4_ning2022,Sn,50,-1,51,4,ning2022_monoanion_reference,bound_experimental,True,True,1.3926637620897964e-12,1.0199999999999999e-05,True,1.641468729607282e-15,1e-08,True,True,True,1,1
Sb_qm3_mult1_formal,Sb,51,-3,54,1,formal_anion_reference,formal_multianion,True,True,1.4708234630234074e-12,1.08e-05,True,1.7579305733553882e-15,1e-08,True,True,True,1,1
Sb_qm2_mult2_formal,Sb,51,-2,53,2,formal_anion_reference,formal_multianion,True,True,1.4495071809506044e-12,1.06e-05,True,1.88637052898346e-15,1e-08,True,True,True,1,1
Sb_qm1_mult3_ning2022,Sb,51,-1,52,3,ning2022_monoanion_reference,bound_experimental,True,True,1.4210854715202004e-12,1.0399999999999999e-05,True,1.5738495091415211e-15,1e-08,True,True,True,1,1
Te_qm2_mult1_formal,Te,52,-2,54,1,formal_anion_reference,formal_multianion,True,True,1.4637180356658064e-12,1.08e-05,True,2.0148638531789993e-15,1e-08,True,True,True,1,1
Te_qm1_mult2_ning2022,Te,52,-1,53,2,ning2022_monoanion_reference,bound_experimental,True,True,1.4566126083082054e-12,1.06e-05,True,1.6036961318245297e-15,1e-08,True,True,True,1,1
I_qm1_mult1_ning2022,I,53,-1,54,1,ning2022_monoanion_reference,bound_experimental,True,True,1.4921397450962104e-12,1.08e-05,True,1.8143897264892336e-15,1e-08,True,True,True,1,1
Cs_qm1_mult1_ning2022,Cs,55,-1,56,1,ning2022_monoanion_reference,bound_experimental,True,True,1.5276668818842154e-12,1.12e-05,True,1.471081328083247e-15,1e-08,True,True,True,1,1
Ba_qm1_mult2_ning2022,Ba,56,-1,57,2,ning2022_monoanion_reference,bound_experimental,True,True,1.5276668818842154e-12,1.14e-05,True,1.965520078462529e-15,1e-08,True,True,True,1,1
Hf_qm1_mult4_ning2022,Hf,72,-1,73,4,ning2022_monoanion_reference,bound_experimental,True,True,1.9753088054130785e-12,1.4599999999999999e-05,True,2.0950481620487407e-15,1e-08,True,True,True,1,1
Ta_qm1_mult5_ning2022,Ta,73,-1,74,5,ning2022_monoanion_reference,bound_experimental,True,True,2.0179413695586845e-12,1.4799999999999999e-05,True,1.706945128637011e-15,1e-08,True,True,True,1,1
W_qm1_mult6_ning2022,W,74,-1,75,6,ning2022_monoanion_reference,bound_experimental,True,True,2.0321522242738865e-12,1.4999999999999999e-05,True,1.6416410669405669e-15,1e-08,True,True,True,1,1
Re_qm1_mult5_ning2022,Re,75,-1,76,5,ning2022_monoanion_reference,bound_experimental,True,True,2.0463630789890885e-12,1.52e-05,True,1.8872295369023525e-15,1e-08,True,True,True,1,1
Os_qm1_mult4_ning2022,Os,76,-1,77,4,ning2022_monoanion_reference,bound_experimental,True,True,2.0605739337042905e-12,1.5399999999999998e-05,True,1.5034301109898093e-15,1e-08,True,True,True,1,1
Ir_qm1_mult3_ning2022,Ir,77,-1,78,3,ning2022_monoanion_reference,bound_experimental,True,True,2.1032064978498966e-12,1.56e-05,True,1.7523653240721205e-15,1e-08,True,True,True,1,1
Pt_qm1_mult2_ning2022,Pt,78,-1,79,2,ning2022_monoanion_reference,bound_experimental,True,True,2.1316282072803006e-12,1.5799999999999998e-05,True,1.7706256729207977e-15,1e-08,True,True,True,1,1
Au_qm1_mult1_ning2022,Au,79,-1,80,1,ning2022_monoanion_reference,bound_experimental,True,True,2.1600499167107046e-12,1.6e-05,True,1.6764090712011375e-15,1e-08,True,True,True,1,1
Hg_qm1_mult2_formal,Hg,80,-1,81,2,formal_anion_reference,formal_monoanion,True,True,2.1600499167107046e-12,1.62e-05,True,2.1315427082486344e-15,1e-08,True,True,True,1,1
