comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-3,max_abs_quantile_radius_delta_angstrom,6,6.961658780570983e-05,0.004778673089190406,0.015549773255252083,0.016667434353450035,0.017561563232008394,0.017785095451647984
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-3,max_abs_cutoff_radius_delta_angstrom,6,0.0001806059773670754,0.0037778944235835462,0.011912548543450478,0.012725317978555951,0.013375533526640334,0.013538087413661427
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-3,delta_tail_electrons_gt_10_bohr,6,5.883978000461449e-09,2.001873028782974e-06,1.2395659141128728e-05,1.5625079190298105e-05,1.8208615229633608e-05,1.885449923946748e-05
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-3,delta_tail_electrons_gt_15_bohr,6,5.479153161527614e-20,7.394715989590253e-14,1.171108284891848e-09,1.710131194432127e-09,2.1413495220643506e-09,2.249154103972406e-09
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,charge,-3,delta_tail_electrons_gt_20_bohr,6,1.0990545084716143e-35,3.40087483991359e-24,8.814480029401425e-15,1.3221031898522897e-14,1.6746273393820076e-14,1.7627583767644368e-14
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,relative_l1_delta,63,3.853215862245048e-11,0.0004861982729628383,0.0011617222878450336,0.0025873812451634058,0.003659515836037967,0.004169313730796101
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,l1_delta_electrons_trapz,63,7.706718308997494e-11,0.023256594571912266,0.0432071879248635,0.04507261769723479,0.04636223123828652,0.04754449360942734
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,max_abs_cumulative_delta_electrons,63,3.852629326672741e-11,0.004524477961738604,0.008979076974006262,0.00988675836064914,0.010539653258330475,0.010664909782185816
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,mean_abs_radial_shift_angstrom,63,2.83505369196342e-11,4.04075335439398e-05,0.00023534981347873415,0.0004523931179450915,0.001196868249807886,0.001636507870276898
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,delta_mean_r_angstrom,63,2.831725767622015e-11,2.748941533110783e-06,0.00012047691074610034,0.00021095808639223128,0.0007508043620216339,0.0011199165273292702
