r_bohr,rho_e_bohr3__Ni_qm1_mult2_ning2022,rho_e_bohr3__Ni_q0_mult3_nist,rho_e_bohr3__Ni_qp1_mult2_nist,rho_e_bohr3__Pd_qm1_mult2_ning2022,rho_e_bohr3__Pd_q0_mult1_nist,rho_e_bohr3__Pd_qp1_mult2_nist
1.515898645065975e-05,26127.246403922811,26137.863160700668,26116.918595816147,310726.86636809475,310706.93341148936,310710.24942213984
1.5387120805760489e-05,26127.170595652628,26137.787321588061,26116.842817555935,310694.06567071809,310674.13482423336,310677.45048367046
1.5618688456625894e-05,26127.09248949233,26137.709183650441,26116.764742315292,310660.28125936294,310640.35258628213,310643.66788397293
1.5853741072456756e-05,26127.012015820597,26137.628677238165,26116.684300500419,310625.48397404747,310605.5575395301,310608.87246462971
1.6092331100046768e-05,26126.929102908663,26137.545730593323,26116.601420410963,310589.64381142776,310569.71968256356,310573.03422390477
1.63345117754848e-05,26126.843676856734,26137.46026978597,26116.516028176353,310552.72990170354,310532.8081475675,310536.12229365401
1.658033713603349e-05,26126.755661528252,26137.372218648678,26116.428047690279,310514.71048497234,310494.79117668339,310498.10491567734
1.6829862032186241e-05,26126.664978482557,26137.281498708784,26116.337400542994,310475.55288702506,310455.63609780325,310458.94941751845
1.708314213990615e-05,26126.571546905125,26137.188029118879,26116.244005952005,310435.22349457379,310415.30929980194,310418.62218769122
1.7340233973048638e-05,26126.47528353587,26137.091726585088,26116.14778069024,310393.68772990524,310373.77620719129,310377.08865033719
1.7601194895971404e-05,26126.376102595412,26136.992505293107,26116.048639012271,310350.91002495761,310331.00125419599,310334.3132393008
1.7866083136333946e-05,26126.273915709004,26136.890276832193,26115.946492578252,310306.8537948021,310286.94785824185,310290.25937161659
1.81349577980899e-05,26126.168631828128,26136.784950116824,26115.84125037579,310261.48141053866,310241.57839284895,310244.88942040061
1.8407878874674567e-05,26126.060157149841,26136.67643130583,26115.732818639037,310214.75417158729,310194.85415992839,310198.16468714969
1.8684907262391356e-05,26125.948395033585,26136.56462371942,26115.621100765722,310166.63227737916,310146.73536146962,310150.04537342844
1.8966104773999251e-05,26125.833245915732,26136.449427753381,26115.505997231605,310117.07479843404,310097.18107062636,310100.49055195088
1.9251534152505067e-05,26125.714607221187,26136.330740790949,26115.387405502192,310066.03964683018,310046.14920218394,310049.45813705272
1.9541259085163115e-05,26125.592373272681,26136.208457111872,26115.265219942092,310013.48354605521,309993.59648241528,309996.90485454269
1.9835344217685723e-05,26125.466435197293,26136.082467798828,26115.139331721395,309959.36200024164,309939.47841831413,309942.78621093836
2.0133855168667313e-05,26125.336680829867,26135.952660641116,26115.009628719436,309903.62926278013,309883.7492662135,309887.05646208348
2.0436858544225824e-05,26125.202994613945,26135.81892003525,26114.875995425464,309846.23830431432,309826.36199978355,309829.66858114395
2.0744421952864511e-05,26125.065257499424,26135.681126882704,26114.738312836562,309787.14078011655,309767.26827740634,309770.57422598451
2.1056614020557072e-05,26124.923346837459,26135.539158484688,26114.596458352346,309726.28699684527,309706.41840893665,309709.7237059279
2.1373504406060116e-05,26124.777136271776,26135.392888433547,26114.450305666593,309663.62587868696,309643.76132184744,309647.06594790029
2.1695163816456102e-05,26124.626495627148,26135.242186501095,26114.299724655604,309599.10493288771,309579.24452676083,309582.54846196121
2.2021664022929823e-05,26124.471290794296,26135.086918523506,26114.144581263245,309532.67021467717,309512.81408237678,309516.11730623478
2.2353077876782674e-05,26124.311383611555,26134.926946282867,26113.98473738246,309464.26629159751,309444.41455980419,309447.71705123375
2.2689479325687928e-05,26124.146631742624,26134.762127385009,26113.820050733397,309393.83620723896,309373.98900629557,309377.29074360238
2.3030943430190295e-05,26123.97688855126,26134.592315133967,26113.650374737736,309321.32144439465,309301.47890840995,309304.77986927336
2.3377546380454166e-05,26123.802002971461,26134.41735840233,26113.475558389378,309246.66188765242,309226.82415460167,309230.12431605638
2.3729365513263698e-05,26123.621819374574,26134.237101498155,26113.295446121221,309169.79578542698,309149.96299725829,309153.26233567926
2.4086479329278966e-05,26123.436177431831,26134.051384027378,26113.109877667994,309090.65971146041,309070.83201420121,309074.13050528301
2.4448967510551351e-05,26123.244911973074,26133.860040752683,26112.918687924946,309009.18852579792,308989.36606966646,308992.66368840705
2.481691093830318e-05,26123.047852841257,26133.662901447773,26112.721706802342,308925.31533526833,308905.49827478663,308908.79499546718
2.5190391710974269e-05,26122.844824742475,26133.459790747409,26112.518759075698,308838.97145349282,308819.15994760022,308822.45574376645
2.5569493162540561e-05,26122.635647091673,26133.250527993136,26112.309664231456,308750.08636043884,308730.28057261172,308733.57541705511
2.5954299881108155e-05,26122.420133853688,26133.034927074033,26112.094236308039,308658.58766156092,308638.78775993257,308642.08162466891
2.6344897727787467e-05,26122.198093379622,26132.812796263264,26111.872283732497,308564.40104655206,308544.60720403562,308547.900060285
2.674137385585091e-05,26121.969328238229,26132.583938049269,26111.643609151688,308467.45024774491,308447.66264216066,308450.95446032676
2.7143816730179592e-05,26121.733635042496,26132.348148962214,26111.408009259128,308367.65699820151,308347.87581240362,308351.16656205233
2.7552316147001979e-05,26121.490804270801,26132.105219395366,26111.165274616185,308264.9409895346,308245.16641154332,308248.4560613808
2.796696325393011e-05,26121.240620083146,26131.854933420793,26110.915189468218,308159.21982950752,308139.45205264329,308142.74057049304
2.8387850570297081e-05,26120.982860131469,26131.597068600004,26110.65753155524,308050.40899946413,308030.64822248416,308033.9355752652
